date,day_index,borough,traveler_segment,treated_market,treatment_flag,holdout_flag,post_period,campaign_id,channel,spend,impressions,clicks,experience_bookings,gbv,contribution_margin,conversion_rate,demand_signal_score,event_pressure,intent_index,weather_favorability,available_supply
2026-05-01,0,Bronx,family_discovery,0,0,1,0,HOLDOUT_OR_PRE,none,0.0,0.0,0.0,442.4166788747031,58204.466482677955,12804.98262618915,0.0,67.4346399493918,10.731968529001914,84.88494443154767,75.18665619039625,349.386301369863
2026-05-01,0,Brooklyn,local_creatives,1,0,1,0,HOLDOUT_OR_PRE,none,0.0,0.0,0.0,934.9438270681331,131908.48488274726,29019.866674204397,0.0,72.35293581517308,10.686710905653156,88.92246257814998,76.93548702596584,5434.8794520547945
2026-05-01,0,Manhattan,culture_seekers,0,0,1,0,HOLDOUT_OR_PRE,none,0.0,0.0,0.0,800.2443694373447,125633.5173706968,27639.373821553298,0.0,73.34934427696632,10.458775579466373,89.69559532513509,77.57245414545368,6451.038356164384
2026-05-01,0,Queens,value_explorers,1,0,1,0,HOLDOUT_OR_PRE,none,0.0,0.0,0.0,1000.7724601349963,150876.0277339929,33192.72610147844,0.0,71.32548255090173,10.162266844084908,92.79949779504476,77.24291554170154,2146.591780821918
2026-05-01,0,Staten Island,outdoor_daytrip,0,0,1,0,HOLDOUT_OR_PRE,none,0.0,0.0,0.0,107.4853630387186,15457.938796599043,3400.7465352517893,0.0,67.56190974385262,9.777426431889836,91.01794012716759,76.83577490855103,97.1917808219178
2026-05-02,1,Bronx,family_discovery,0,0,1,0,HOLDOUT_OR_PRE,none,0.0,0.0,0.0,488.4410975338961,70470.89498178444,15503.596895992578,0.0,76.16224472763052,15.923015546500062,91.4018038903155,78.45831591127556,349.386301369863
2026-05-02,1,Brooklyn,local_creatives,1,0,1,0,HOLDOUT_OR_PRE,none,0.0,0.0,0.0,1046.505328664212,150822.73441698655,33181.00157173704,0.0,81.29151300604026,16.239605773168204,93.52281515812857,78.60817458097955,5434.8794520547945
2026-05-02,1,Manhattan,culture_seekers,0,0,1,0,HOLDOUT_OR_PRE,none,0.0,0.0,0.0,860.2021653508901,137199.55287830983,30183.90163322816,0.0,81.83695924988574,15.711479967579006,94.02177057368816,78.19415513920113,6451.038356164384
2026-05-02,1,Queens,value_explorers,1,0,1,0,HOLDOUT_OR_PRE,none,0.0,0.0,0.0,1093.9828130407925,153709.63026318303,33816.11865790027,0.0,79.59973071592945,15.930518682322022,95.74265383670291,75.80398150165401,2146.591780821918
2026-05-02,1,Staten Island,outdoor_daytrip,0,0,1,0,HOLDOUT_OR_PRE,none,0.0,0.0,0.0,133.51759446522533,20038.35819206378,4408.4388022540315,0.0,74.02706000284752,16.44130492092818,85.76955594211915,75.14664148305265,97.1917808219178
2026-05-03,2,Bronx,family_discovery,0,0,1,0,HOLDOUT_OR_PRE,none,0.0,0.0,0.0,515.4504661883509,68868.6926983813,15151.112393643887,0.0,76.0636713961733,15.787782873874656,90.67513296114609,77.34763945290798,349.386301369863
2026-05-03,2,Brooklyn,local_creatives,1,0,1,0,HOLDOUT_OR_PRE,none,0.0,0.0,0.0,1105.589198952913,165045.05342097796,36309.91175261515,0.0,79.15847690796262,15.129584077073236,92.86868947252141,77.30921378489268,5434.8794520547945
