date,day_index,borough,neighbourhood,traveler_segment,experience_category,listing_count,available_supply,avg_price,review_velocity,event_pressure,intent_index,weather_favorability,poi_density,weekend,holiday,treated_market,post_period,demand_signal_score,experience_bookings_proxy
2026-05-01,0,Bronx,Allerton,family_discovery,family_culture,42,18.832876712328765,87.5952380952381,1.6157142857142857,10.761792699386078,82.33686170158796,82.57378654080937,47.61305990680692,0,0,0,0,68.30751175931164,16.405173878179625
2026-05-01,0,Bronx,Belmont,family_discovery,family_culture,24,12.339726027397258,77.125,1.5733333333333333,7.744551232844205,85.80497187329199,74.04023623560904,43.90267779379664,0,0,0,0,63.30101200258858,18.831118430976947
2026-05-01,0,Bronx,Claremont Village,family_discovery,family_culture,28,13.783561643835615,87.46428571428571,1.0989285714285715,12.198494937157072,83.67472052307208,77.09842255484743,44.814627297750405,0,0,0,0,68.91688082504113,20.763353430396176
2026-05-01,0,Bronx,Clason Point,family_discovery,family_culture,21,13.306849315068494,112.76190476190476,1.3738095238095238,8.851768842791905,83.68699109548703,68.89911616772572,46.333183285453934,0,0,0,0,63.40161782754627,20.063899906606128
2026-05-01,0,Bronx,Concourse,family_discovery,family_culture,50,21.923287671232874,86.18,1.472,9.537844091136849,83.3430811502877,86.35050768374995,44.76831276624372,0,0,0,0,67.31614760652049,21.858165609520547
2026-05-01,0,Bronx,Concourse Village,family_discovery,family_culture,32,13.986301369863014,73.78125,1.05,10.119666123779426,82.1949959452391,79.49372948927034,48.11949849958228,0,0,0,0,66.94047683332849,20.612806696430972
2026-05-01,0,Bronx,Fordham,family_discovery,family_culture,63,24.77808219178082,69.44444444444444,1.1468253968253967,16.354119002176155,81.53376426612024,72.4722351417854,49.17485683724553,0,0,0,0,73.30888464166847,24.11517011498417
2026-05-01,0,Bronx,Highbridge,family_discovery,family_culture,27,11.72876712328767,71.11111111111111,1.801111111111111,12.822430731802228,88.24621960901685,69.84892515865748,36.69191572881188,0,0,0,0,68.22238345540255,27.007873570713304
2026-05-01,0,Bronx,Kingsbridge,family_discovery,family_culture,70,30.29041095890411,77.92857142857143,1.256857142857143,12.858135428008605,89.37613980299713,71.24609931604816,54.29276418563872,0,0,0,0,72.46209091639713,23.309640010544
2026-05-01,0,Bronx,Longwood,family_discovery,family_culture,62,26.197260273972603,91.91935483870968,1.4243548387096774,11.546721491822533,93.11220986762277,78.35894136455516,55.00386678981137,0,0,0,0,73.69523694931944,24.09455916680758
2026-05-01,0,Bronx,Mott Haven,family_discovery,family_culture,60,24.15342465753425,88.91666666666667,2.1428333333333334,10.72279849672496,100.0,64.91293041551238,45.7191799121306,0,0,0,0,70.5299201864348,27.59379764201542
2026-05-01,0,Bronx,Mount Hope,family_discovery,family_culture,20,8.528767123287672,77.5,1.122,8.402805379391644,75.94636765634638,88.52970746423287,33.937377476737836,0,0,0,0,61.57815239215492,21.982680731536192
2026-05-01,0,Bronx,Norwood,family_discovery,family_culture,31,13.104109589041094,75.54838709677419,0.8883870967741935,6.792825570960488,74.49843788875225,77.87220149519776,48.53651245063465,0,0,0,0,59.847228013930376,20.349210801764144
2026-05-01,0,Bronx,Parkchester,family_discovery,family_culture,39,15.005479452054793,69.07692307692308,1.267948717948718,12.983368087999812,81.08606015718618,72.87136263304117,51.63181861205404,0,0,0,0,69.50996741403397,20.445010806405097
2026-05-01,0,Bronx,Pelham Gardens,family_discovery,family_culture,28,11.227397260273973,93.60714285714286,2.205357142857143,7.810784191655195,88.14081705504893,69.21455868634482,47.294305446093325,0,0,0,0,63.91453903532374,28.314447577098825
2026-05-01,0,Bronx,Port Morris,family_discovery,family_culture,46,19.17808219178082,79.8913043478261,1.5099999999999998,12.726213385169421,84.97128117121511,77.83849450297141,52.15368999125987,0,0,0,0,71.64615204023332,22.39305664624922
2026-05-01,0,Bronx,Throgs Neck,family_discovery,family_culture,24,11.55890410958904,91.04166666666667,2.13125,11.141938093893529,89.10037380788839,73.66574620183714,37.442930847820485,0,0,0,0,67.33428886005937,21.923268892248444
2026-05-01,0,Bronx,University Heights,family_discovery,family_culture,21,7.783561643835616,69.57142857142857,1.1095238095238096,12.217431201963954,74.85235806406142,76.67012992417921,44.74236871584848,0,0,0,0,65.75261405288198,19.9354425403852
2026-05-01,0,Bronx,Wakefield,family_discovery,family_culture,50,27.08219178082192,85.58,1.874,12.663462772431966,92.62654550965482,73.18379047800448,50.06755785089333,0,0,0,0,72.8988890596987,20.038139162340855
2026-05-01,0,Bronx,Williamsbridge,family_discovery,family_culture,40,24.5972602739726,96.75,1.809,6.382218818942282,83.16669148607684,68.59220235354586,45.02124550723252,0,0,0,0,59.808805115960425,21.990799978672676
2026-05-01,0,Brooklyn,Bay Ridge,local_creatives,local_creative_food,138,53.8986301369863,98.29710144927536,1.296304347826087,10.054593614901526,98.10831163431779,73.7200652058663,62.36032767204457,0,0,1,0,74.1222296662203,21.439385861961263
2026-05-01,0,Brooklyn,Bedford-Stuyvesant,local_creatives,local_creative_food,3694,1176.8438356164384,100.1710882512182,1.3139523551705468,10.486406105330925,100.0,73.8579123671532,92.29385505027031,0,0,1,0,81.33836111514836,28.246544648741892
2026-05-01,0,Brooklyn,Bensonhurst,local_creatives,local_creative_food,75,27.706849315068492,75.78666666666666,1.2878666666666667,12.086059108864644,88.35765365153986,71.81697732878335,48.19236864502316,0,0,1,0,70.03462185888105,23.583651385047805
2026-05-01,0,Brooklyn,Boerum Hill,local_creatives,local_creative_food,174,35.797260273972604,163.6551724137931,0.8496551724137931,9.676268227340493,86.52093601007381,76.74499413854525,67.89018933059529,0,0,1,0,71.30469958152956,21.33417679118879
2026-05-01,0,Brooklyn,Borough Park,local_creatives,local_creative_food,136,62.717808219178075,63.06617647058823,1.0553676470588236,8.441256268445338,87.84084492685685,78.33015044613182,64.71657863341487,0,0,1,0,69.90521187586592,26.543328937613282
2026-05-01,0,Brooklyn,Brighton Beach,local_creatives,local_creative_food,74,34.863013698630134,93.17567567567568,1.3636486486486485,11.892177647873773,96.73079370095398,67.0600725397749,51.29838689082781,0,0,1,0,72.39269174129666,20.15534976417602
2026-05-01,0,Brooklyn,Brooklyn Heights,local_creatives,local_creative_food,149,26.008219178082193,181.21476510067114,0.7284563758389261,9.02547549211058,74.28708551486247,81.65138454887294,54.2068268584712,0,0,1,0,64.45396657680892,14.976331710989543
